title,company,location,apply_link
Associate,PwC India,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291067264?position=50&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=8UqUJyxineTs1yb3JSGL9g%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4398356824?position=51&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=9JccLqFc2S9Uj2bM1979Kg%3D%3D
Data Analyst (Freelancer),Deccan AI Experts,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-freelancer-at-deccan-ai-experts-4398372086?position=52&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=CAVITMkbyKwKFSc6bBb0MA%3D%3D
Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4404063757?position=53&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=FBIIuKCfAd%2FN3awC32Gujg%3D%3D
Data Analyst - Python and Spark,Citi,"Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-python-and-spark-at-citi-4402707726?position=54&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=RFgUgPo5z88jzUMg78wyqg%3D%3D
Data Analyst,Aditya Birla Capital,"Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-aditya-birla-capital-4393216089?position=1&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=Sr6YIudWd1jc%2B%2F8HCUdXQg%3D%3D
Data Analyst (Stata) | Remote,Crossing Hurdles,India,https://in.linkedin.com/jobs/view/data-analyst-stata-remote-at-crossing-hurdles-4403960305?position=2&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=tHo3YmxK0z3i8z5dmPgaEA%3D%3D
Data Analyst,Larsen & Toubro,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-larsen-toubro-4402228798?position=3&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=VNsXUYbWfzyQQMWPZ1XTNg%3D%3D
Data Analyst,PwC India,"Lucknow, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-pwc-india-4399154671?position=4&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=dgbIAL9P1Rlft7ah2ojRsg%3D%3D
Data Analyst,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4398766299?position=5&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=NCV%2BXKAUQeD9MZT6FfVWLQ%3D%3D
Data Analyst,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-persistent-systems-4395024903?position=6&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=qbpjD%2F3T6nJEjSnCFgPyxQ%3D%3D
Data Analyst,EXL,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-exl-4401605319?position=7&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=wT8EgdrV2j5vN6tgg2DeuQ%3D%3D
DATA ANALYST,Wipro,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-wipro-4395286966?position=8&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=dB0YHf8Ago6hF1AQrrlPQg%3D%3D
Data Analysis,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analysis-at-exl-4342246167?position=9&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=0G6HulA6xN4HkOxrVQI69A%3D%3D
Data Analyst,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-deloitte-4395604678?position=10&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=JYLgHY6I7yi9XN3cS%2Bd3TQ%3D%3D
Analyst - T&S,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-t-s-at-swiggy-4404265677?position=11&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=MF7s45vChrvF4IHAVGiPyQ%3D%3D
Data Analyst,HCLTech,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-hcltech-4398219696?position=12&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=CqFFnmxEZJjTlJ0rSbK8uA%3D%3D
Senior Data Analyst,Capgemini,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/senior-data-analyst-at-capgemini-4400426797?position=13&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=hOP%2FQ6hACOh3VvYSM2kTxQ%3D%3D
Data Analyst – SQL/Power BI,Innover Digital,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-sql-power-bi-at-innover-digital-4395942366?position=14&pageNum=0&refId=82U13r8EqjfYPRLU787tXQ%3D%3D&trackingId=qBB%2BPL0G%2F7yemYS%2BJXz1mQ%3D%3D
